title,price,location,details,tags,image_url,url,price_shekels,rooms,area_sqm,floor,city,neighborhood,price_per_sqm
גג/ פנטהאוז,₪ 8 490 000,"גג/ פנטהאוז, הרצליה",5 חדרים • קומה 14 • 210 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202504/27/2_5/o/y2_1pa_010964_20250427105504.jpeg,,8490000.0,5.0,210.0,14.0,Unknown,"פנטהאוז, הרצליה",40428.57142857143
שדרות ההשכלה 17,₪ 5 290 000,"דירה, ביצרון ורמת ישראל, תל אביב יפו",5.5 חדרים • קומה 5 • 137 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202509/14/2_5/o/y2_1_7zlUt9WREu_20250914.jpg,,5290000.0,5.5,137.0,5.0,תל אביב יפו,,38613.13868613139
"רש""י",₪ 3 500 000,"דירת גן, בני ברק",5 חדרים • קומה קרקע • 220 מ״ר,"ממ""ד, נכס חדש, בהזדמנות",https://img.yad2.co.il/Pic/202406/30/2_5/o/y2_1_xz8phvcM3Y_20240630.jpg,,3500000.0,5.0,220.0,4.0,בני ברק,,15909.09090909091
אלכסנדר פן,₪ 2 590 000,"דירה, רובע ה', אשדוד",4 חדרים • קומה 3 • 148 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202507/17/2_5/o/y2_1pa_010780_20250717170151.jpeg,,2590000.0,4.0,148.0,3.0,אשדוד,,17500.0
כנען,₪ 2 770 000,"דירה, בית בפארק ,פרדס בחסכון, אור יהודה",4 חדרים • קומה 1 • 158 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202508/20/2_5/o/y2_1pa_010183_20250820152413.jpeg,,2770000.0,4.0,158.0,1.0,אור יהודה,,17531.645569620254
דב פרידמן,₪ 4 290 000,"דירה, שכונת הראשונים, רמת גן",4 חדרים • קומה 4 • 112 מ״ר,"ממ""ד, חניה, חבל לפספס",https://img.yad2.co.il/Pic/202508/12/2_5/o/y2_1pa_010308_20250812090922.jpeg,,4290000.0,4.0,112.0,4.0,רמת גן,,38303.57142857143
בצלאל 14,₪ 5 250 000,"דירה, הצפון החדש - דרום, תל אביב יפו",4.5 חדרים • קומה 1 • 102 מ״ר,"חניה, קרוב לפארק, בהזדמנות",https://img.yad2.co.il/Pic/202508/14/2_5/o/y2_1pa_010347_20250814112005.jpeg,,5250000.0,4.5,102.0,1.0,הצפון החדש,"דרום, תל אביב יפו",51470.58823529412
בית פרטי/ קוטג',₪ 3 700 000,"בית פרטי/ קוטג', כפר אדומים",7 חדרים • קומה קרקע • 710 מ״ר,"ממ""ד, חבל לפספס, בהזדמנות",https://img.yad2.co.il/Pic/202506/30/2_5/o/y2_1pa_010310_20250630121516.jpeg,,3700000.0,7.0,710.0,4.0,Unknown,"קוטג', כפר אדומים",5211.267605633803
אלי מויאל 1,₪ 1 730 000,"מגרשים, שדרות בפארק, שדרות",6 חדרים • קומה קרקע • 412 מ״ר,"3 חדרי מקלחת, חניה, חדש מקבלן",https://img.yad2.co.il/Pic/202509/17/2_1/o/y2_1pa_010856_20250917161028.jpeg,,1730000.0,3.0,412.0,4.0,שדרות,,4199.0291262135925
מרחבים 1322,₪ 690 000,"דירה, נווה גן, דימונה",4 חדרים • קומה 6 • 89 מ״ר,"3 כיווני אוויר, נוף פתוח לעיר, חניה",https://img.yad2.co.il/Pic/202509/01/2_1/o/y2_1pa_010495_20250901180358.jpeg,,690000.0,4.0,89.0,6.0,דימונה,,7752.808988764045
יצחק שמיר 14,₪ 3 150 000,"דירה, רמת הדר, גבעת שמואל",4 חדרים • קומה 4 • 131 מ״ר,"ממ""ד, נוף פתוח לעיר, חניה",https://img.yad2.co.il/Pic/202508/28/2_1/o/y2_1_01436_20250828103229.jpeg,,3150000.0,4.0,131.0,4.0,גבעת שמואל,,24045.801526717558
משעול החיטה 2,₪ 1 350 000,"דירת גן, קדומים, קדומים",3 חדרים • קומה קרקע • 172 מ״ר,"3 חדרי מקלחת, 3 כיווני אוויר, נוף פתוח לפארק",https://img.yad2.co.il/Pic/202508/31/2_1/o/y2_1pa_010217_20250831204503.jpeg,,1350000.0,3.0,172.0,4.0,קדומים,,7848.837209302325
דפנה 10,₪ 2 999 999,"גג/ פנטהאוז, סיגליות, באר שבע",6 חדרים • קומה 9 • 296 מ״ר,"3 חדרי מקלחת, 4 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202509/01/2_1/o/y2_1pa_010079_20250901133209.jpeg,,2999999.0,3.0,296.0,9.0,Unknown,"פנטהאוז, סיגליות, באר שבע",10135.131756756757
הנוטר 29,₪ 2 780 000,"דירת גן, קרית חיים מזרחית, חיפה",6 חדרים • קומה קרקע • 244 מ״ר,"3 כיווני אוויר, נוף פתוח לפארק, חניה",https://img.yad2.co.il/Pic/202507/15/2_1/o/y2_1pa_010221_20250715214302.jpeg,,2780000.0,6.0,244.0,4.0,חיפה,,11393.442622950819
שדרות לוי אשכול 2,₪ 6 000 000,"דירה, כוכב הצפון, תל אביב יפו",3 חדרים • קומה 3 • 94 מ״ר,"ממ""ד, נוף פתוח לפארק, חניה",https://img.yad2.co.il/Pic/202406/13/2_1/o/y2_1pa_010381_20240613191419.jpeg,,6000000.0,3.0,94.0,3.0,תל אביב יפו,,63829.78723404255
דרך בר יהודה 52,₪ 2 290 000,"דירת גן, אזור תעשיה, נשר",4 חדרים • קומה קרקע • 165 מ״ר,"ממ""ד, חניה, חדש מקבלן",https://img.yad2.co.il/Pic/202412/03/2_1/o/y2_1pa_010122_20241203100059.jpeg,,2290000.0,4.0,165.0,4.0,נשר,,13878.787878787878
השיקמה 3,₪ 2 400 000,"בית פרטי/ קוטג', רובע ב', אריאל",4 חדרים • קומה קרקע • 180 מ״ר,"3 כיווני אוויר, משופצת אדריכלית, בניין משופץ",https://img.yad2.co.il/Pic/202508/20/2_1/o/y2_1pa_010799_20250820031317.jpeg,,2400000.0,4.0,180.0,4.0,Unknown,"קוטג', רובע ב', אריאל",13333.333333333334
